X,_,X,X,X,X,P,X,X,X,X,_,_,_,_,_,_,_,_,T,_,_,T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_,C,X,X,X,X,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,C,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,_,X,X,X,X,_,X,X,X,X,X,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,X
X,_,X,X,P,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,_,X,X,X,X,_,X,X,X,X,X,X
X,_,X,X,X,C,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,X
X,_,_,_,_,_,_,_,_,_,_,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,P,X,_,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,_,X,X,X,X,_,C,P,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,P,X,X,X,X,X,_,_,_,_,_,_,_,_,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,X,X,X,X,P,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,P,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,R,X,X,X,_,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,X,P,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,_,X,X,X,X,C,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,P,X
X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,C,X,X,X,_,_,_,T,_,_,_,_,_,_,X,X,X,X,C,X,X,X,X,X,X,_,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,_,_,T,_,_,_,_,_,_,_,_,_,X,X,X,X,X,X
X,X,X,C,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,_,X,X,_,X,X,X,X,X,X
X,_,_,_,_,_,_,_,_,_,_,_,X,X,X,_,X,X,X,P,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,C,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,_,_,_,_,_,_,_,X,X,P,X,X,_,X,X,_,P,X,X,X,X,_,X,X,_,X,X,X,P,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,P,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,_,C,X,X,X,X,_,X,X,_,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,T,X
X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X,X,P,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,X,X,X,P,X,P,X,X,_,X
X,_,_,_,T,_,_,_,_,_,_,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,C,X,X,_,_,_,_,T,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,_,_,_,_,_,_,X,X,_,X,X,_,C,X,X,X,X,R,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,P,X,X,_,X,X,X,_,X,X,X,X,X,X,_,R,X,C,X,X,_,X,X,_,X,X,_,X,X,X,X,X,X,X,P,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,P,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,_,_,_,_,_,_,T,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,P,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,P,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,P,X,X,X,_,X,X,_,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,P,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,C,_,X,X,X,X,X,T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,P,X,P,X,X,X,X,X,X,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,P,X,_,X,X,X,P,X,X,_,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,_,X
X,_,X,X,C,X,R,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,_,X
X,_,_,_,_,_,_,_,_,_,_,T,_,_,_,_,_,_,_,_,_,_,_,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
